iter	Passed	Remaining
0	146	146500
1	150	74894
2	152	50589
3	154	38419
4	156	31226
5	158	26305
6	161	22864
7	162	20206
8	165	18210
9	167	16592
10	169	15250
11	171	14151
12	173	13177
13	175	12331
14	176	11620
15	178	10987
16	181	10471
17	182	9980
18	185	9560
19	186	9148
20	188	8797
21	190	8471
22	191	8131
23	192	7819
24	193	7533
25	194	7280
26	195	7061
27	196	6828
28	197	6611
29	198	6432
30	200	6260
31	201	6108
32	203	5952
33	204	5796
34	204	5648
35	205	5507
36	206	5372
37	207	5260
38	208	5137
39	209	5024
40	210	4914
41	210	4806
42	211	4704
43	212	4606
44	212	4520
45	214	4438
46	215	4368
47	216	4301
48	218	4243
49	219	4172
50	220	4102
51	221	4032
52	221	3965
53	222	3900
54	223	3837
55	224	3779
56	225	3724
57	225	3669
58	226	3619
59	227	3570
60	229	3527
61	230	3484
62	231	3439
63	232	3395
64	233	3353
65	233	3309
66	234	3267
67	235	3224
68	236	3185
69	236	3147
70	237	3109
71	238	3072
72	239	3035
73	239	2999
74	240	2964
75	241	2933
76	242	2906
77	243	2884
78	244	2856
79	246	2830
80	246	2801
81	247	2772
82	248	2739
83	248	2712
84	249	2691
85	250	2665
86	251	2639
87	252	2614
88	253	2589
89	253	2565
90	254	2541
91	255	2518
92	255	2496
93	256	2476
94	258	2460
95	259	2442
96	260	2424
97	261	2406
98	262	2389
99	263	2371
100	264	2351
101	264	2332
102	265	2314
103	266	2295
104	267	2278
105	268	2263
106	269	2251
107	270	2235
108	271	2220
109	272	2206
110	274	2194
111	275	2181
112	276	2170
113	277	2157
114	278	2142
115	279	2127
116	279	2110
117	280	2097
118	281	2083
119	282	2071
120	283	2057
121	283	2042
122	284	2029
123	285	2016
124	286	2004
125	287	1994
126	288	1983
127	289	1973
128	291	1965
129	291	1953
130	292	1943
131	293	1932
132	295	1923
133	296	1913
134	296	1901
135	297	1889
136	298	1878
137	299	1868
138	300	1859
139	300	1848
140	301	1839
141	302	1828
142	303	1820
143	305	1814
144	306	1806
145	307	1799
146	308	1792
147	309	1783
148	311	1778
149	312	1771
150	313	1763
151	314	1753
152	315	1744
153	315	1735
154	317	1728
155	318	1725
156	320	1719
157	321	1713
158	322	1706
159	323	1699
160	324	1691
161	325	1684
162	326	1677
163	327	1668
164	328	1660
165	328	1651
166	329	1643
167	330	1635
168	331	1629
169	332	1623
170	334	1620
171	335	1615
172	336	1609
173	338	1604
174	338	1597
175	339	1590
176	340	1582
177	341	1575
178	341	1567
179	342	1561
180	343	1555
181	344	1548
182	345	1542
183	346	1537
184	347	1532
185	349	1528
186	350	1523
187	351	1518
188	352	1511
189	353	1507
190	354	1502
191	355	1496
192	356	1489
193	356	1483
194	357	1476
195	358	1470
196	359	1463
197	360	1458
198	361	1453
199	362	1450
200	364	1448
201	365	1444
202	367	1441
203	368	1438
204	369	1433
205	370	1428
206	371	1423
207	372	1418
208	373	1413
209	374	1407
210	375	1402
211	376	1398
212	377	1393
213	378	1391
214	379	1387
215	381	1384
216	382	1379
217	382	1373
218	383	1368
219	384	1363
220	385	1357
221	386	1353
222	387	1348
223	387	1343
224	388	1338
225	389	1333
226	390	1329
227	391	1325
228	393	1323
229	394	1321
230	395	1316
231	396	1313
232	397	1309
233	399	1306
234	399	1301
235	400	1296
236	401	1291
237	401	1286
238	402	1282
239	403	1277
240	404	1272
241	405	1268
242	405	1264
243	407	1261
244	407	1257
245	408	1253
246	410	1250
247	411	1247
248	412	1243
249	413	1239
250	413	1235
251	414	1230
252	415	1226
253	416	1222
254	417	1218
255	417	1214
256	418	1211
257	419	1207
258	420	1203
259	422	1201
260	423	1199
261	425	1197
262	425	1193
263	426	1189
264	427	1186
265	428	1182
266	429	1179
267	430	1176
268	431	1172
269	432	1169
270	433	1165
271	433	1161
272	434	1157
273	435	1153
274	437	1152
275	439	1151
276	440	1149
277	441	1147
278	442	1144
279	443	1140
280	444	1137
281	445	1133
282	445	1129
283	446	1126
284	447	1122
285	448	1118
286	449	1115
287	450	1113
288	451	1111
289	452	1108
290	453	1105
291	454	1102
292	455	1100
293	456	1097
294	457	1093
295	458	1089
296	458	1086
297	459	1083
298	460	1079
299	461	1077
300	462	1074
301	463	1071
302	464	1068
303	465	1065
304	466	1062
305	467	1060
306	468	1057
307	469	1055
308	471	1053
309	472	1050
310	472	1047
311	473	1044
312	474	1042
313	475	1039
314	476	1036
315	477	1033
316	478	1030
317	478	1027
318	479	1024
319	481	1022
320	482	1020
321	484	1019
322	485	1017
323	486	1015
324	487	1012
325	488	1010
326	489	1007
327	490	1004
328	491	1002
329	492	1000
330	493	997
331	494	995
332	496	993
333	497	991
334	499	990
335	500	988
336	501	986
337	502	984
338	503	981
339	504	978
340	505	977
341	506	975
342	507	972
343	508	969
344	509	967
345	510	964
346	511	962
347	512	960
348	514	959
349	515	957
350	516	955
351	518	954
352	519	952
353	520	949
354	521	947
355	522	945
356	523	943
357	524	940
358	525	939
359	527	937
360	528	936
361	530	934
362	531	932
363	532	929
364	533	927
365	534	925
366	534	922
367	535	919
368	536	917
369	537	915
370	538	913
371	539	910
372	540	908
373	541	907
374	543	905
375	545	904
376	546	903
377	547	901
378	548	899
379	549	896
380	550	894
381	551	891
382	551	889
383	552	886
384	553	884
385	554	881
386	554	878
387	555	876
388	557	875
389	558	874
390	560	872
391	561	871
392	563	869
393	563	867
394	564	865
395	565	862
396	566	860
397	567	858
398	568	856
399	569	853
400	570	851
401	571	850
402	572	848
403	573	846
404	574	844
405	575	842
406	577	841
407	579	840
408	580	838
409	581	836
410	582	835
411	584	833
412	585	831
413	586	829
414	587	828
415	588	826
416	589	824
417	590	821
418	591	819
419	592	817
420	592	815
421	593	812
422	594	810
423	595	808
424	596	806
425	598	805
426	599	804
427	600	802
428	601	801
429	602	798
430	603	797
431	604	795
432	605	792
433	606	790
434	607	788
435	607	786
436	608	784
437	609	781
438	610	779
439	611	778
440	613	777
441	615	776
442	616	774
443	617	772
444	617	770
445	618	768
446	619	766
447	620	764
448	621	762
449	621	760
450	622	757
451	623	755
452	624	753
453	624	751
454	626	750
455	627	749
456	629	748
457	630	746
458	631	744
459	632	742
460	633	740
461	634	738
462	635	736
463	635	734
464	636	732
465	637	730
466	638	728
467	638	726
468	639	724
469	640	721
470	641	720
471	642	718
472	644	717
473	645	716
474	646	714
475	647	712
476	648	710
477	649	708
478	650	707
479	650	704
480	651	702
481	652	700
482	652	698
483	653	696
484	654	694
485	655	693
486	656	691
487	658	690
488	659	689
489	661	688
490	661	686
491	662	684
492	663	682
493	664	680
494	665	678
495	666	676
496	666	674
497	667	672
498	668	670
499	669	669
500	669	667
501	670	665
502	672	664
503	674	663
504	675	661
505	675	659
506	676	658
507	677	656
508	678	654
509	679	652
